Min,Max,Avg
2,100,64.3
9,77,49.1
4,99,46.4
12,100,61.4
3,98,36.5
6,81,40.0
7,100,56.4
8,83,38.1
12,83,49.6
17,99,59.7
31,87,51.3
1,88,34.0
6,93,52.8
12,74,47.6
8,96,56.5
4,97,61.5
3,98,46.5
11,89,51.3
12,100,51.9
5,86,44.3
18,98,62.2
2,100,43.1
2,87,44.5
11,78,49.8
10,92,46.9
7,92,47.8
28,95,59.8
24,97,53.0
14,91,55.6
6,94,50.3
3,63,33.4
7,90,48.7
13,99,59.8
15,99,48.6
15,84,51.2
19,94,63.3
1,93,44.6
24,92,59.7
14,86,45.3
5,97,52.3
6,99,48.4
4,94,54.6
19,99,66.5
11,60,35.4
7,73,32.3
12,96,47.4
3,99,46.9
10,85,57.5
5,95,47.9
6,97,52.4
10,73,52.5
20,88,50.4
5,91,51.0
10,97,55.5
19,86,59.7
1,89,51.6
2,95,29.8
19,86,41.5
3,82,47.9
6,96,47.7
7,59,29.6
10,96,55.7
8,92,43.0
3,78,51.0
12,98,59.4
8,93,53.8
10,99,50.3
13,88,46.1
11,93,55.4
5,89,40.6
12,100,53.6
1,81,45.8
19,84,48.2
27,72,52.7
9,99,60.3
2,91,37.9
36,87,59.6
17,99,58.8
1,87,55.6
1,83,48.7
4,97,47.3
2,100,67.0
4,94,53.3
3,54,31.4
1,97,45.4
18,83,49.5
13,79,50.2
9,98,42.3
10,99,59.7
8,86,57.4
