Min,Max,Avg
30,489,217.5
30,489,227.1
9,489,223.05
30,489,217.5
30,489,227.1
9,489,223.05
9,489,226.65
9,489,224.85
9,489,219.0
9,489,225.3
9,492,245.4
9,492,228.3
9,492,233.25
9,492,232.05
9,492,227.4
9,492,230.1
9,492,237.0
9,492,218.7
30,489,217.5
30,489,227.1
9,489,223.05
9,489,226.65
9,489,224.85
9,489,219.0
9,489,225.3
9,492,245.4
9,492,228.3
9,492,233.25
9,492,232.05
9,492,227.4
9,492,230.1
9,492,237.0
9,492,218.7
9,492,212.25
9,492,224.4
9,492,216.6
9,492,206.1
9,492,225.15
9,492,229.65
9,492,223.65
24,492,224.85
24,492,232.95
24,492,241.35
24,492,253.65
24,492,260.4
24,486,242.7
24,486,261.6
24,486,271.95
9,486,268.2
9,486,256.95
9,486,261.6
9,486,240.75
9,486,251.85
9,486,268.65
9,486,264.45
9,486,285.6
9,486,286.95
9,486,274.8
0,486,261.75
0,486,251.4
0,486,256.2
0,486,250.05
0,486,255.6
30,489,217.5
30,489,227.1
9,489,223.05
9,489,226.65
9,489,224.85
9,489,219.0
9,489,225.3
9,492,245.4
9,492,228.3
9,492,233.25
9,492,232.05
9,492,227.4
9,492,230.1
9,492,237.0
9,492,218.7
9,492,212.25
9,492,224.4
9,492,216.6
9,492,206.1
9,492,225.15
9,492,229.65
9,492,223.65
24,492,224.85
24,492,232.95
24,492,241.35
24,492,253.65
24,492,260.4
24,486,242.7
24,486,261.6
24,486,271.95
9,486,268.2
9,486,256.95
9,486,261.6
9,486,240.75
9,486,251.85
9,486,268.65
9,486,264.45
9,486,285.6
9,486,286.95
9,486,274.8
0,486,261.75
0,486,251.4
0,486,256.2
0,486,250.05
0,486,255.6
0,486,250.5
0,486,234.15
30,489,217.5
30,489,227.1
9,489,223.05
9,489,226.65
9,489,224.85
9,489,219.0
9,489,225.3
9,492,245.4
9,492,228.3
9,492,233.25
9,492,232.05
